프로골퍼	프로/NNG + 골퍼/NNG
김미현(26·KTF)에게	김미현/NNP + (/SS + 26/SN + ·/SP + KTF/SL + )/SS + 에게/JKB
빨간색	빨간색/NNG
재킷과	재킷/NNG + 과/JC
회색	회색/NNG
바지	바지/NNG
세트인	세트/NNG + 이/VCP + ㄴ/ETM
보드복은	보드복/NNG + 은/JX
잘	잘/MAG
어울렸다.	어울리/VV + 었/EP + 다/EF + ./SF

미국	미국/NNP
LPGA의	LPGA/SL + 의/JKG
2003	2003/SN
시즌이	시즌/NNG + 이/JKS
늦게	늦/VA + 게/EC
시작하기	시작/NNG + 하/XSV + 기/ETN
때문에	때문/NNB + 에/JKB
꽤	꽤/MAG
긴	길/VA + ㄴ/ETM
'휴가'를	'/SS + 휴가/NNG + '/SS + 를/JKO
즐기고	즐기/VV + 고/EC
있는	있/VX + 는/ETM
김미현은	김미현/NNP + 은/JX
지금	지금/MAG
스노보드	스노보드/NNG
타는	타/VV + 는/ETM
재미에	재미/NNG + 에/JKB
푹	푹/MAG
빠져	빠지/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

13일	13/SN + 일/NNB
강원도	강원도/NNP
평창	평창/NNP
휘닉스파크에서	휘닉스파크/NNP + 에서/JKB
날렵하게	날렵/XR + 하/XSA + 게/EC
슬로프를	슬로프/NNG + 를/JKO
내려오는	내려오/VV + 는/ETM
김미현을	김미현/NNP + 을/JKO
만났다.	만나/VV + 았/EP + 다/EF + ./SF

이번	이번/NNG
겨울	겨울/NNG
들어	들/VV + 어/EC
4번째로	4/SN + 번/NNB + 째/XSN + 로/JKB
스키장을	스키장/NNG + 을/JKO
찾았단다.	찾/VV + 았/EP + 단다/EF + ./SF

"모자	"/SS + 모자/NNG
쓰고	쓰/VV + 고/EC
고글까지	고글/NNG + 까지/JX
쓰면	쓰/VV + 면/EC
알아보는	알아보/VV + 는/ETM
사람이	사람/NNG + 이/JKS
거의	거의/MAG
없어요.	없/VA + 어요/EF + ./SF

편안하게	편안/NNG + 하/XSA + 게/EC
스트레스	스트레스/NNG
푸는	풀/VV + 는/ETM
데는	데/NNB + 는/JX
스노보드가	스노보드/NNG + 가/JKS
최고예요."	최고/NNG + 이/VCP + 에요/EF + ./SF + "/SS

하얀	하얗/VA + ㄴ/ETM
입김을	입김/NNG + 을/JKO
뿜어내는	뿜어내/VV + 는/ETM
김미현은	김미현/NNP + 은/JX
"하프파이프(원통을	"/SS + 하프파이프/NNG + (/SS + 원통/NNG + 을/JKO
반으로	반/NNG + 으로/JKB
자른	자르/VV + ㄴ/ETM
모양의	모양/NNG + 의/JKG
코스로	코스/NNG + 로/JKB
점프	점프/NNG
등	등/NNB
묘기를	묘기/NNG + 를/JKO
부릴	부리/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
곳)에	곳/NNG + )/SS + 에/JKB
도전해	도전/NNG + 하/XSV + 아/EC
보고도	보/VV + 고도/EC
싶지만	싶/VX + 지만/EC
무서울	무섭/VA + ㄹ/ETM
것	것/NNB
같아	같/VA + 아/EC
망설이고	망설이/VV + 고/EC
있다"고	있/VX + 다/EC + "/SS + 고/JKQ
했다.	하/VV + 았/EP + 다/EF + ./SF

그는	그/NP + 는/JX
지금	지금/MAG
꿀맛	꿀맛/NNG
같은	같/VA + 은/ETM
휴가를	휴가/NNG + 를/JKO
즐기고	즐기/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

KTF와	KTF/SL + 와/JKB
재계약했고	재계약/NNG + 하/XSV + 았/EP + 고/EC
일본	일본/NNP
혼마,	혼마/NNP + ,/SP
그리고	그리고/MAJ
김영주패션과도	김영주패션/NNP + 과/JKB + 도/JX
계약을	계약/NNG + 을/JKO
마쳐	마치/VV + 어/EC
어느	어느/MM
해보다	해/NNG + 보다/JKB
편안하다.	편안/NNG + 하/XSA + 다/EF + ./SF

16일쯤	16/SN + 일/NNB + 쯤/XSN
미국으로	미국/NNP + 으로/JKB
돌아가면	돌아가/VV + 면/EC
본격적인	본격/NNG + 적/XSN + 이/VCP + ㄴ/ETM
동계훈련에	동계/NNG + 훈련/NNG + 에/JKB
들어간다.	들어가/VV + ㄴ다/EF + ./SF

그래서	그래서/MAJ
김미현은	김미현/NNP + 은/JX
아버지	아버지/NNG
김정길(56)씨에게	김정길/NNP + (/SS + 56/SN + )/SS + 씨/NNB + 에게/JKB
어리광을	어리광/NNG + 을/JKO
부리다시피	부리/VV + 다시피/EC
떼를	떼/NNG + 를/JKO
써	쓰/VV + 어/EC
'부담	'/SS + 부담/NNG
없이'	없이/MAG + '/SS
놀고	놀/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

"혼자	"/SS + 혼자/NNG
놀	놀/VV + ㄹ/ETM
시간을	시간/NNG + 을/JKO
달라"는	달/VV + 라/EC + "/SS + 는/ETM
것이	것/NNB + 이/JKS
스물여섯	스물여섯/NR
살	살/NNB
처녀	처녀/NNG
김미현의	김미현/NNP + 의/JKG
외침이었다.	외침/NNG + 이/VCP + 었/EP + 다/EF + ./SF

원래	원래/NNG
13일인	13/SN + 일/NNB + 이/VCP + ㄴ/ETM
생일도	생일/NNG + 도/JX
하루	하루/NNG
앞당겨	앞당기/VV + 어/EC
지난	지나/VV + ㄴ/ETM
12일	12/SN + 일/NNB
저녁	저녁/NNG
경기도	경기도/NNP
일산의	일산/NNP + 의/JKG
집에서	집/NNG + 에서/JKB
온	온/MM
가족이	가족/NNG + 이/JKS
모인	모이/VV + ㄴ/ETM
가운데	가운데/NNG
파티를	파티/NNG + 를/JKO
열었다.	열/VV + 었/EP + 다/EF + ./SF

오빠	오빠/NNG
민석씨가	민석/NNP + 씨/NNB + 가/JKS
스키장에	스키장/NNG + 에/JKB
동행했다.	동행/NNG + 하/XSV + 았/EP + 다/EF + ./SF

김미현은	김미현/NNP + 은/JX
프로골퍼로서는	프로/NNG + 골퍼/NNG + 로서/JKB + 는/JX
상당히	상당히/MAG
부담스런	부담/NNG + 스럽/XSA + ㄴ/ETM
아이언	아이언/NNG
교체를	교체/NNG + 를/JKO
'단행'했다.	'/SS + 단행/NNG + '/SS + 하/XSV + 았/EP + 다/EF + ./SF

올	올/MM
시즌부터는	시즌/NNG + 부터/JX + 는/JX
퍼터와	퍼터/NNG + 와/JC
웨지를	웨지/NNG + 를/JKO
제외하고는	제외/NNG + 하/XSV + 고/EC + 는/JX
혼마	혼마/NNP
제품을	제품/NNG + 을/JKO
쓴다.	쓰/VV + ㄴ다/EF + ./SF

작년	작년/NNG
말	말/NNG
한·일	한/NNP + ·/SP + 일/NNP
골프대항전에	골프/NNG + 대항전/NNG + 에/JKB
나갔을	나가/VV + 았/EP + 을/ETM
때	때/NNG
써	쓰/VV + 어/EC
본	보/VX + ㄴ/ETM
혼마에	혼마/NNP + 에/JKB
'필(feel)이	'/SS + 필/NNG + (/SS + feel/SL + )/SS + 이/JKS
꽂혀'	꽂히/VV + 어/EC + '/SS
아예	아예/MAG
사용계약을	사용/NNG + 계약/NNG + 을/JKO
했을	하/VV + 았/EP + 을/ETM
정도다.	정도/NNG + 이/VCP + 다/EF + ./SF

거리와	거리/NNG + 와/JC
정확성이	정확/NNG + 성/XSN + 이/JKS
늘었다고	늘/VV + 었/EP + 다고/EC
한다.	하/VV + ㄴ다/EF + ./SF

'우드의	'/SS + 우드/NNG + 의/JKG
여왕'이란	여왕/NNG + '/SS + 이/VCP + 란/ETM
칭호가	칭호/NNG + 가/JKS
달라질지도	달라지/VV + ㄹ지/EC + 도/JX
모른다.	모르/VV + ㄴ다/EF + ./SF

'놀고'	'/SS + 놀/VV + 고/EC + '/SS
있지만	있/VV + 지만/EC
김미현이	김미현/NNP + 이/JKS
마냥	마냥/MAG
쉬는	쉬/VV + 는/ETM
것은	것/NNB + 은/JX
아니다.	아니/VCN + 다/EF + ./SF

지금도	지금/NNG + 도/JX
하루	하루/NNG
최소한	최소한/NNG
두	두/MM
시간	시간/NNG
이상은	이상/NNG + 은/JX
웨이트트레이닝을	웨이트/NNG + 트레이닝/NNG + 을/JKO
한다.	하/VV + ㄴ다/EF + ./SF

김미현은	김미현/NNP + 은/JX
요즘	요즘/NNG
'눈에	'/SS + 눈/NNG + 에/JKB
띄게'	띄/VV + 게/EC + '/SS
날씬해졌다.	날씬/XR + 하/XSA + 아/EC + 지/VX + 었/EP + 다/EF + ./SF

"조금	"/SS + 조금/MAG
빠졌어요."	빠지/VV + 었/EP + 어요/EF + ./SF + "/SS

어머니	어머니/NNG
왕선행(51)씨에게	왕선행/NNP + (/SS + 51/SN + )/SS + 씨/NNB + 에게/JKB
넌지시	넌지시/MAG
물었더니	묻/VV + 었/EP + 더니/EC
"작년	"/SS + 작년/NNG
말에는	말/NNG + 에/JKB + 는/JX
