15면	15/SN + 면/NNG
45판	45/SN + 판/NNB
561자	561/SN + 자/NNG

대우자동차	대우자동차/NNP
채권단은	채권단/NNG + 은/JX
오는	오/VV + 는/ETM
6월	6/SN + 월/NNB
말까지	말/NNB + 까지/JX
대우차	대우차/NNP
매각을	매각/NNG + 을/JKO
완료하기로	완료/NNG + 하/XSV + 기/ETN + 로/JKB
했다.	하/VV + 았/EP + 다/EF + ./SF

전담은행인	전담/NNG + 은행/NNG + 이/VCP + ㄴ/ETM
산업은행은	산업은행/NNP + 은/JX
31일	31/SN + 일/NNB
대우차	대우차/NNP
향후	향후/NNG
처리일정과	처리/NNG + 일정/NNG + 과/JKB
관련,	관련/NNG + ,/SP
인수의사가	인수/NNG + 의사/NNG + 가/JKS
있는	있/VV + 는/ETM
국내외업체를	국내외/NNG + 업체/NNG + 를/JKO
대상으로	대상/NNG + 으로/JKB
제한	제한/NNG
경쟁입찰	경쟁/NNG + 입찰/NNG
방식으로	방식/NNG + 으로/JKB
대우차를	대우차/NNP + 를/JKO
매각하겠다고	매각/NNG + 하/XSV + 겠/EP + 다고/EC
발표했다.	발표/NNG + 하/XSV + 았/EP + 다/EF + ./SF

매각	매각/NNG
희망업체는	희망/NNG + 업체/NNG + 는/JX
1월	1/SN + 월/NNB
말까지	말/NNB + 까지/JX
인수의향서를,	인수/NNG + 의향서/NNG + 를/JKO + ,/SP
3월	3/SN + 월/NNB
초순까지	초순/NNG + 까지/JX
인수제안서를	인수/NNG + 제안서/NNG + 를/JKO
채권단에	채권단/NNG + 에/JKB
내야하며,	내/VV + 어야/EC + 하/XSV + 며/EC + ,/SP
3월	3/SN + 월/NNB
중순까지	중순/NNG + 까지/JX
우선협상대상자가	우선/NNG + 협상/NNG + 대상자/NNG + 가/JKS
선정된다.	선정/NNG + 되/XSV + ㄴ다/EF + ./SF

산업은행은	산업은행/NNP + 은/JX
우선협상대상자로	우선/NNG + 협상/NNG + 대상자/NNG + 로/JKB
선정된	선정/NNG + 되/XSV + ㄴ/ETM
업체가	업체/NNG + 가/JKS
독자적인	독자/NNG + 적/XSN + 이/VCP + ㄴ/ETM
실사를	실사/NNG + 를/JKO
하도록	하/VV + 도록/EC
허용하고	허용/NNG + 하/XSV + 고/EC
6월	6/SN + 월/NNB
말까지는	말/NNG + 까지/JX + 는/JX
최종계약과	최종/NNG + 계약/NNG + 과/JC
대금결제를	대금/NNG + 결제/NNG + 를/JKO
끝낼	끝내/VV + ㄹ/ETM
예정이라고	예정/NNG + 이/VCP + 라고/EC
밝혔다.	밝히/VV + 었/EP + 다/EF + ./SF

산업은행은	산업은행/NNP + 은/JX
"경쟁을	"/SS + 경쟁/NNG + 을/JKO
촉진하고	촉진/NNG + 하/XSV + 고/EC
국내외업체를	국내외/NNG + 업체/NNG + 를/JKO
동등하게	동등/NNG + 하/XSA + 게/EC
대우한다는	대우/NNG + 하/XSV + ㄴ다는/ETM
원칙하에	원칙하/NNG + 에/JKB
매각작업을	매각/NNG + 작업/NNG + 을/JKO
투명하게	투명/NNG + 하/XSA + 게/EC
진행하겠다"고	진행/NNG + 하/XSV + 겠/EP + 다/EC + "/SS + 고/JKQ
밝혔다.	밝히/VV + 었/EP + 다/EF + ./SF

채권단은	채권단/NNG + 은/JX
대우차의	대우차/NNP + 의/JKG
수출비중이	수출/NNG + 비중/NNG + 이/JKS
70%에	70/SN + %/SW + 에/JKB
달해	달하/VV + 아/EC
해외영업기반	해외/NNG + 영업/NNG + 기반/NNG
회복에	회복/NNG + 에/JKB
상당한	상당/NNG + 하/XSA + ㄴ/ETM
비용과	비용/NNG + 과/JC
시간이	시간/NNG + 이/JKS
필요하기	필요/NNG + 하/XSA + 기/ETN
때문에	때문/NNB + 에/JKB
국내	국내/NNG
기업이	기업/NNG + 이/JKS
단독으로	단독/NNG + 으로/JKB
대우차를	대우차/NNP + 를/JKO
인수하기는	인수/NNG + 하/XSV + 기/ETN + 는/JX
어렵다고	어렵/VA + 다고/EC
보고	보/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

이에	이/NP + 에/JKB
따라	따르/VV + 아/EC
대우차	대우차/NNP
인수전은	인수전/NNG + 은/JX
포드-GM-크라이슬러-피아트-르노	포드/NNP + -/SS + GM/SL + -/SS + 크라이슬러/NNP + -/SS + 피아트/NNP + -/SS + 르노/NNP
등	등/NNB
해외업체가	해외/NNG + 업체/NNG + 가/JKS
단독으로,	단독/NNG + 으로/JKB + ,/SP
혹은	혹은/MAG
국내업체와	국내/NNG + 업체/NNG + 와/JC
컨소시엄을	컨소시엄/NNG + 을/JKO
구성하는	구성/NNG + 하/XSV + 는/ETM
방식으로	방식/NNG + 으로/JKB
진행될	진행/NNG + 되/XSV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

69면	69/SN + 면/NNG
45판	45/SN + 판/NNB
1559자	1559/SN + 자/NNG

6개월	6/SN + 개월/NNB
이상을	이상/NNG + 을/JKO
내다보는	내다보/VV + 는/ETM
투자자라면	투자자/NNG + 이/VCP + 라면/EC
올	올/MM
하반기에	하반기/NNG + 에/JKB
입주하는	입주/NNG + 하/XSV + 는/ETM
수도권	수도/NNG + 권/XSN
분양권을	분양/NNG + 권/XSN + 을/JKO
적극	적극/NNG
매입하는	매입/NNG + 하/XSV + 는/ETM
게	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

'1인	'/SS + 1/SN + 이/VCP + ㄴ/ETM
1통장	1/SN + 통장/NNG
시대'가	시대/NNG + '/SS + 가/JKS
열리는	열리/VV + 는/ETM
2000년은	2000/SN + 년/NNB + 은/JX
단기	단기/NNG
프리미엄을	프리미엄/NNG + 을/JKO
노린	노리/VV + ㄴ/ETM
청약자가	청약자/NNG + 가/JKS
인기지역으로	인기/NNG + 지역/NNG + 으로/JKB
대거	대거/MAG
몰려	몰리/VV + 어/EC
실수요자가	실수요자/NNG + 가/JKS
분양받기는	분양/NNG + 받/VV + 기/ETN + 는/JX
더욱	더욱/MAG
어려워	어렵/VA + 어/EC
질	지/VX + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

집을	집/NNG + 을/JKO
매매하는데	매매/NNG + 하/XSV + 는데/EC
들어가는	들어가/VV + 는/ETM
거래비용이	거래/NNG + 비용/NNG + 이/JKS
6%에	6/SN + %/SW + 에/JKB
가까운	가깝/VA + ㄴ/ETM
현실에서	현실/NNG + 에서/JKB
취득비용이	취득/NNG + 비용/NNG + 이/JKS
적고	적/VA + 고/EC
단기투자가	단기/NNG + 투자/NNG + 가/JKS
가능한	가능/NNG + 하/XSA + ㄴ/ETM
분양권시장이	분양/NNG + 권/XSN + 시장/NNG + 이/JKS
인기를	인기/NNG + 를/JKO
누릴	누리/VV + ㄹ/ETM
가능성이	가능/NNG + 성/XSN + 이/JKS
높다.	높/VA + 다/EF + ./SF

지난해	지난해/NNG
분양권가격이	분양/NNG + 권/XSN + 가격/NNG + 이/JKS
많이	많이/MAG
오른	오르/VV + ㄴ/ETM
곳은	곳/NNG + 은/JX
서울지역으로	서울/NNP + 지역/NNG + 으로/JKB
평균	평균/NNG
10.7%에	10/SN + ./SP + 7/SN + %/SW + 에/JKB
달했다.	달하/VV + 았/EP + 다/EF + ./SF

특히	특히/MAG
한강	한강/NNP
이남지역이	이남/NNG + 지역/NNG + 이/JKS
15%대로	15/SN + %/SW + 대/XSN + 로/JKB
가장	가장/MAG
높았다.	높/VA + 았/EP + 다/EF + ./SF

이런	이런/MM
추세는	추세/NNG + 는/JX
