러시아의	러시아/NNP + 의/JKG
첨단	첨단/NNG
기술을	기술/NNG + 을/JKO
한눈에	한눈/NNG + 에/JKB
볼	보/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
전시회가	전시회/NNG + 가/JKS
대덕연구단지	대덕연구단지/NNP
국립중앙과학관에서	국립중앙과학관/NNP + 에서/JKB
지난달	지난달/NNG
31일부터	31/SN + 일/NNB + 부터/JX
2일까지	2/SN + 일/NNB + 까지/JX
열리고	열리/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

전시품목은	전시/NNG + 품목/NNG + 은/JX
50	50/SN
개로	개/NNB + 로/JKB
이중	이/MM + 중/NNB
29	29/SN
개는	개/NNB + 는/JX
기계	기계/NNG
분야이고	분야/NNG + 이/VCP + 고/EC
21	21/SN
개는	개/NNB + 는/JX
신소재	신/XPN + 소재/NNG
분야이다.	분야/NNG + 이/VCP + 다/EF + ./SF

이번	이번/NNG
전시회에서는	전시회/NNG + 에서/JKB + 는/JX
60	60/SN
명의	명/NNB + 의/JKG
러시아	러시아/NNP
과학자들이	과학자/NNG + 들/XSN + 이/JKS
직접	직접/MAG
전시품목을	전시/NNG + 품목/NNG + 을/JKO
설명하고	설명/NNG + 하/XSV + 고/EC
기술세미나를	기술/NNG + 세미나/NNG + 를/JKO
연다.	열/VV + ㄴ다/EF + ./SF

이들은	이/NP + 들/XSN + 은/JX
부피가	부피/NNG + 가/JKS
큰	크/VA + ㄴ/ETM
제품은	제품/NNG + 은/JX
직접	직접/MAG
가져오지	가져오/VV + 지/EC
못하고	못하/VX + 고/EC
대신	대신/NNG
비디오로	비디오/NNG + 로/JKB
촬영해	촬영/NNG + 하/XSV + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

전시	전시/NNG
제품들은	제품/NNG + 들/XSN + 은/JX
대부분	대부분/NNG
'최고	'/SS + 최고/NNG
효율'	효율/NNG + '/SS
'최고	'/SS + 최고/NNG
정밀'	정밀/XR + '/SS
'세계	'/SS + 세계/NNG
최초'	최초/NNG + '/SS
'세계	'/SS + 세계/NNG
최고'라는	최고/NNG + '/SS + 이/VCP + 라는/ETM
수식어를	수식어/NNG + 를/JKO
달고	달/VV + 고/EC
나왔다.	나오/VV + 았/EP + 다/EF + ./SF

기계분야에서는	기계/NNG + 분야/NNG + 에서/JKB + 는/JX
미풍에	미풍/NNG + 에/JKB
해당하는	해당/NNG + 하/XSV + 는/ETM
초속	초속/NNG
2	2/SN
~	~/SO
3m	3/SN + m/SL
바람만	바람/NNG + 만/JX
가지고도	가지/VV + 고/EC + 도/JX
발전과	발전/NNG + 과/JC
작동을	작동/NNG + 을/JKO
할	하/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
기계가	기계/NNG + 가/JKS
선보인다.	선보이/VV + ㄴ다/EF + ./SF

지금까지는	지금/NNG + 까지/JX + 는/JX
최소한	최소한/NNG
초속	초속/NNG
8m는	8/SN + m/SL + 는/JX
돼야	되/VV + 어야/EC
가능했었다.	가능/NNG + 하/XSA + 았었/EP + 다/EF + ./SF

크랭크축과	크랭크축/NNG + 과/JC
캠축	캠축/NNG
압축기	압축기/NNG
스크류	스크류/NNG
등을	등/NNB + 을/JKO
가공하는	가공/NNG + 하/XSV + 는/ETM
초정밀연마기는	초/XPN + 정밀/NNG + 연마기/NNG + 는/JX
기하학적	기하학/NNG + 적/XSN
정확도가	정확도/NNG + 가/JKS
기존	기존/NNG
제품보다	제품/NNG + 보다/JKB
2배	2/SN + 배/NNG
이상	이상/NNG
높아졌으며	높/VA + 아/EC + 지/VX + 었/EP + 으며/EC
특수소프트웨어	특수/NNG + 소프트웨어/NNG
개발로	개발/NNG + 로/JKB
숙련공이	숙련공/NNG + 이/JKC
아니더라도	아니/VCN + 더라도/EC
조작할	조작/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다고	있/VV + 다고/EC
한다.	하/VV + ㄴ다/EF + ./SF

기존	기존/NNG
방식에	방식/NNG + 에/JKB
비해	비하/VV + 아/EC
생산성이	생산/NNG + 성/XSN + 이/JKS
10배나	10/SN + 배/NNG + 나/JX
높아진	높/VA + 아/EC + 지/VX + ㄴ/ETM
또	또/MAG
다른	다른/MM
초정밀연마기는	초/XPN + 정밀/NNG + 연마기/NNG + 는/JX
실리콘이나	실리콘/NNG + 이나/JC
사파이어	사파이어/NNG
등	등/NNB
초경도재료를	초/XPN + 경도/NNG + 재료/NNG + 를/JKO
부스러지지	부스러지/VV + 지/EC
않게	않/VX + 게/EC
연마해	연마/NNG + 하/XSV + 아/EC
주는데	주/VX + 는데/EC
이	이/MM
역시	역시/MAG
숙련공이	숙련공/NNG + 이/JKS
필요하지	필요/NNG + 하/XSA + 지/EC
않다.	않/VX + 다/EF + ./SF

휴대용	휴대/NNG + 용/XSN
전기	전기/NNG
아크	아크/NNG
플라즈마장치는	플라즈마/NNG + 장치/NNG + 는/JX
두께	두께/NNG
1.5㎜	1/SN + ./SP + 5/SN + ㎜/SW
철판을	철판/NNG + 을/JKO
용접할	용접/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있으며	있/VV + 으며/EC
출혈	출혈/NNG
없이	없이/MAG
피부를	피부/NNG + 를/JKO
절개할	절개/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

환경보호기술도	환경/NNG + 보호/NNG + 기술/NNG + 도/JX
여럿이다.	여럿/NNG + 이/VCP + 다/EF + ./SF

자동차	자동차/NNG
시동용	시동/NNG + 용/XSN
강력	강력/XR
축전기는	축전기/NNG + 는/JX
기존	기존/NNG
납축전지에	납축전지/NNG + 에/JKB
비해	비하/VV + 아/EC
전력이	전력/NNG + 이/JKS
5	5/SN
~	~/SO
10배이고	10/SN + 배/NNG + 이/VCP + 고/EC
영하	영하/NNG
50도에서도	50/SN + 도/NNB + 에서/JKB + 도/JX
시동이	시동/NNG + 이/JKS
걸리며	걸리/VV + 며/EC
수명은	수명/NNG + 은/JX
2	2/SN
~	~/SO
3배로	3/SN + 배/NNG + 로/JKB
늘고	늘/VV + 고/EC
무게는	무게/NNG + 는/JX
25	25/SN
~	~/SO
40%나	40/SN + %/SW + 나/JX
줄면서	줄/VV + 면서/EC
유해한	유해/NNG + 하/XSA + ㄴ/ETM
납을	납/NNG + 을/JKO
사용하지	사용/NNG + 하/XSV + 지/EC
않는	않/VX + 는/ETM
등의	등/NNB + 의/JKG
장점을	장점/NNG + 을/JKO
가졌다고	가지/VV + 었/EP + 다고/EC
러시아	러시아/NNP
측은	측/NNB + 은/JX
밝히고	밝히/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

오존층을	오존/NNG + 층/XSN + 을/JKO
파괴하는	파괴/NNG + 하/XSV + 는/ETM
프레온가스를	프레온/NNG + 가스/NNG + 를/JKO
사용하지	사용/NNG + 하/XSV + 지/EC
않으면서도	않/VX + 으면서/EC + 도/JX
영하	영하/NNG
60도까지	60/SN + 도/NNB + 까지/JX
급속	급속/NNG
냉각하는	냉각/NNG + 하/XSV + 는/ETM
가스급속냉각장치와	가스/NNG + 급속/NNG + 냉각/NNG + 장치/NNG + 와/JKB
함께	함께/MAG
3백	3/SN + 백/NR
50㎏을	50/SN + ㎏/SW + 을/JKO
나르는	나르/VV + 는/ETM
로봇도	로봇/NNG + 도/JX
전시된다.	전시/NNG + 되/XSV + ㄴ다/EF + ./SF

섬유나	섬유/NNG + 나/JC
철선이	철선/NNG + 이/JKS
들어	들/VV + 어/EC
